ID,Age,F0,apparent_VTL_Kalashikova,apparent_VTL_F3_F4,apparent_VTL_Reby_McComb,F0_SD,Mean_HNR,absolute_jitter,abolute_shimmer,shimmer_apq3,Speakers_Health_Perception_Current_Health_mean,Speakers_Health_Perception_Resistence_mean,Listeners_Mean_Voice_Health_Rating,Listeners_Mean_Disease_Resistance_Rating,Listeners_Overall_Health_Rating
61,20,91.385,15.94145119,16.24320588,17.00696138,11.831,.277138,.000274919,1.181,.05857,2,4.75,5.69,5.69,5.69
63,22,94.397,17.77197179,17.92979424,18.98629383,10.627,.153105,.000171937,.835,.03528,4.44444444444444,3.75,6.06,5.56,5.81
64,18,129.062,16.07740799,15.84922494,16.41381217,11.03,.158151,9.69E-005,.886,.03857,4.33333333333333,3.25,5.03,4.92,4.975
65,24,94.656,17.33946717,17.75814646,19.6734365,6.823,.305868,.000160262,1.236,.05451,3.77777777777778,3.75,4.64,4.76,4.7
66,19,95.558,16.42535643,16.88329574,18.4636238,14.753,.276696,.000183569,1.116,.06287,4.66666666666667,5,5.37,5.24,5.305
67,23,104.843,18.18256822,18.40236975,20.14919255,16.216,.444298,.00028078,1.108,.05963,3.88888888888889,4.5,5.76,5.83,5.795
68,19,121.222,16.72389855,16.95539275,17.46045804,13.658,.203381,.000140758,.952,.03843,4.11111111111111,4.25,5.63,5.43,5.53
69,29,109.245,16.67683766,16.71759801,17.89702549,18.871,.223209,.000168158,1.138,.06664,2.33333333333333,2.5,5.68,5.37,5.525
70,18,118.393,16.9752555,16.97420194,17.51294471,23.609,.33613,.000272142,1.546,.08243,3.44444444444444,3,6.39,5.94,6.165
71,18,110.013,17.396757,17.34436168,18.43449558,34.273,.35878,.000213273,.98,.05057,3.33333333333333,3.25,5.53,5.33,5.43
72,18,134.058,16.86786113,16.68830675,17.02261267,29.246,.310417,.000203201,1.314,.06368,3.77777777777778,4,5.17,4.7,4.935
73,18,91.335,14.72557892,14.94216293,15.71377319,6.285,.518171,.000713551,1.47,.10766, , ,4.71,4.83,4.77
75,21,140.81,17.80681786,17.7381975,19.32052629,12.777,.169386,.000105624,1.018,.04483,4.22222222222222,4,6.15,5.31,5.73
77,20,127.263,16.39861282,16.60006503,17.69487272,24.244,.380635,.000249317,1.524,.08226,3.77777777777778,4,5.89,5.7,5.795
78,19,104.924,16.45338779,16.68266934,17.22900343,16.169,.480335,.000331583,1.614,.08042,3.77777777777778,3.75,5.42,5.27,5.345
79,24,118.583,17.009645,16.96972623,17.60917567,9.137,.259366,.000137994,1.087,.03904, , ,5.8,5.36,5.58
80,21,139.756,17.75998381,17.53834755,17.280481,10.959,.209106,.000173757,1.117,.05929,2.88888888888889,3,4.88,4.71,4.795
81,20,121.948,16.57069695,16.83437673,18.23631768,14.851,.238552,.000193608,1.043,.03995,2.44444444444444,3.25,6.28,5.46,5.87
82,21,110.006,16.28706641,16.40494513,16.91134917,23.355,.26246,.000273341,1.315,.06528,4.11111111111111,3.75,6.05,5.82,5.935
83,19,106.97,16.51408886,16.52128372,16.99000916,26.252,.381791,.000332582,1.205,.06461,4.77777777777778,5,5.75,5.47,5.61
84,17,112.601,18.06235148,18.04126045,19.34385928,14.473,.174959,.000195893,.942,.03265,4.22222222222222,3.75,6.03,5.71,5.87
85,21,120.412,17.22553594,17.28591111,18.16107197,10.441,.217177,.000203169,1.184,.05063,3.77777777777778,3.75,5.08,5.04,5.06
86,24,92.925,17.86673107,17.91795968,19.44896933,6.505,.275999,.000320887,1.341,.06839,4.11111111111111,3.75,4.52,4.57,4.545
89,22,126.012,14.90239962,14.70764958,14.86693454,13.986,.129987,8.83E-005,.722,.0335,2.77777777777778,2.25,5.68,5.3,5.49
90,19,102.407,15.82528903,15.32005455,15.30258836,43.934,.237915,.000235834,.959,.04359,3.44444444444444,4,5.39,5.29,5.34
91,18,113.507,17.03494785,17.43183899,19.30776804,12.82,.210358,.000179794,1.051,.04971,3.33333333333333,2.5,5.88,5.66,5.77
93,18,110.191,16.21273988,16.07150135,16.24954225,5.671,.116786,.000112212,.676,.02311,4.33333333333333,4.5,5.69,5.71,5.7
98,20,110.311,16.69756752,17.11914418,19.43864148,21.779,.361728,.000169601,1.293,.05369,3.55555555555556,4,5.29,4.83,5.06
100,18,101.224,15.67901217,15.66132198,15.54206294,17.698,.126352,.000146502,1.093,.03503,3.88888888888889,4.25,5.26,5.15,5.205
102,20,99.155,17.46260947,17.67222712,19.73683661,10.012,.196542,.000121677,1.05,.04521,4,4,6.09,5.58,5.835
104,22,130.069,17.07175202,16.8109827,17.69986693,8.117,.086723,6.88E-005,.794,.02076,4.11111111111111,3,5.48,5.08,5.28
105,20,101.032,16.72089935,17.06341082,17.8982037,41.058,.266289,.000203074,1.406,.07545,3,3.5,6.16,5.79,5.975
106,20,125.289,17.40436335,17.55844113,18.66021765,14.27,.304385,.000124802,1.343,.05961,3.55555555555556,4.25,6.17,5.6,5.885
109,20,127.572,16.30875183,16.69069933,18.03129275,40.529,.255166,.000196371,1.116,.04671,2.66666666666667,2.5,5.48,5.21,5.345
112,21,124.395,17.80098877,17.74500938,19.10123934,10.784,.128731,.000100726,.745,.02996,3.33333333333333,3.25,5.29,4.99,5.14
113,19,105.798,18.04548104,18.25027081,19.74121877,43.923,.383526,.000242963,1.372,.06163,4.11111111111111,4.5,5.24,5.35,5.295
115,19,111.497,18.29495432,18.35083262,19.53841741,27.357,.270301,.000229957,1.106,.05506,3.11111111111111,3.5,5.28,4.87,5.075
116,19,108.848,16.59086284,17.25285115,19.23086268,6.767,.175084,.000103349,.738,.02602,2.22222222222222,2.75,5.64,5.3,5.47
117,19,125.234,16.98407828,16.76836725,17.42243669,10.806,.176865,.000125358,1.104,.05566,4,2.75,5.56,5.35,5.455
120,19,113.273,16.8675714,16.72265011,17.40535455,11.312,.156106,.000117115,.821,.03821,3.66666666666667,4,5.33,4.85,5.09
122,18,105.62,17.82746891,18.33052117,19.91328538,13.01,.250117,.000185973,1.233,.06349,3.88888888888889,4,6.16,5.71,5.935
125,21,110.326,16.37436871,16.72797849,18.22944688,10.04,.177964,.000160237,1.101,.05013,3,3.75,5.72,5.34,5.53
128,22,88.733,16.40396577,15.78108565,15.54275428,9.001,.183364,.000165297,.755,.03552, , ,4.2,4.41,4.305
130,18,109.97,18.13652549,18.11271779,19.20629088,7.589,.150289,.000111191,.882,.04535,2.33333333333333,2,5.87,5.25,5.56
133,20,119.3,17.30818709,17.26598613,17.67018052,27.896,.506191,.000511877,1.518,.09214,4.33333333333333,2.25,4.37,4.38,4.375
136,22,111.125,17.2904023,17.23044931,18.02041226,11.062,.195066,.000168942,.995,.04571,3.11111111111111,3,4.97,5.05,5.01
137,21,108.341,17.23232478,17.49933034,18.67102224,17.028,.213987,.000138387,1.047,.03786,3.77777777777778,3,6.08,5.73,5.905
139,19,100.958,17.36207988,17.11392559,17.58039318,10.544,.187913,.000140761,1.074,.05601,3.55555555555556,3.75,5.44,5.32,5.38
142,24,107.887,18.22553926,18.32334973,20.26417301,15.034,.233342,.000231657,.93,.0465,3.77777777777778,4.25,5.58,5.38,5.48
144,21,104.936,17.69867932,17.99427385,19.25598729,14.879,.244188,.000209954,1.21,.06098,3.55555555555556,4,5.97,5.13,5.55
146,20,153.988,14.91129764,15.15069286,15.88052899,18.217,.238551,.000137719,.924,.03227,2.77777777777778,3.5,5.96,5.34,5.65
149,25,107.138,18.56721396,18.61171101,19.64910628,6.903,.210018,.00017286,.794,.04619,3,2.75,5.45,5.65,5.55
150,19,113.268,15.69035772,15.90257935,16.85842447,18.513,.338757,.000300348,1.231,.06455,2.77777777777778,3.25,5.51,5.34,5.425
151,19,128.128,16.09986314,16.12072631,16.10376713,14.508,.209147,.000146807,1.162,.06718,3.55555555555556,3.25,5.52,4.99,5.255
152,21,101.863,16.76822946,17.31468393,18.69033388,10.103,.375249,.000286448,1.46,.07279,3.44444444444444,4.25,5,5.15,5.075
153,25,133.503,16.29419873,16.20047637,16.95702909,8.171,.239575,.000160565,1.087,.03863,4.22222222222222,3,5.26,5.15,5.205
154,19,98.112,16.62051654,16.45633512,16.72926475,5.703,.218001,.000257401,.938,.0365,3,3,5.58,5.49,5.535
155,21,89.604,15.79032657,16.32504774,17.77456675,6.965,.450556,.000566212,1.184,.06913,3.55555555555556,3.75,5.6,5.54,5.57
156,23,98.674,16.92962446,16.88157251,17.70305105,11.495,.14674,.000162285,.875,.04106,4.66666666666667,4,5.34,5.03,5.185
158,18,119.737,15.43501015,15.55879972,15.95292434,22.809,.298312,.000251202,1.209,.07335,3.11111111111111,2,5.77,5.17,5.47
162,20,96.713,17.73272125,17.32794138,17.72782924,12.656,.287126,.000282992,1.324,.04707,4,4.5,5.77,5.65,5.71
171,19,116.159,17.39162803,17.54876691,18.77650327,9.356,.216608,.00033341,1.644,.06746,4.11111111111111,4.75,5.36,5.21,5.285
172,29,106.266,15.96701423,16.2890247,17.59810039,6.957,.208901,.000117685,.752,.0315,3.11111111111111,4,6.29,5.35,5.82
173,19,142.955,17.41703174,17.71638784,18.99819343,14.726,.264089,.00016148,1.094,.05079,3.11111111111111,4.25,4.01,4.08,4.045
174,18,98.648,15.57273115,15.4899831,15.613465,9.482,.175567,.000150104,1.078,.05085,3.55555555555556,3.5,5.79,5.36,5.575
177,22,100.27,17.59826808,18.15960361,20.31951571,6.539,.241996,.000131572,1.156,.03757,3.77777777777778,4,5.64,5.4,5.52
179,21,96.95,17.04483226,16.68479791,17.09182048,9.457,.335709,.000383359,1.035,.06988,3.77777777777778,4,4.93,4.8,4.865
181,18,123.921,18.02457745,18.39996683,19.9206346,7.999,.292902,.00010193,1.46,.08964,5,4.5,5.55,5.18,5.365
183,21,101.757,14.75057938,15.6272922,18.05746763,7.584,.356964,9E-005,1.453,.09949,4,4,4.7,4.58,4.64
184,19,91.664,17.86108694,18.49178535,20.77826949,13.417,.257364,.000246396,1.318,.065,3.77777777777778,4,5.52,5.63,5.575
185,19,123.345,17.875487,18.1431188,19.63899806,26.678,.203234,.000119679,1.338,.07015,3.88888888888889,3.75,5.2,4.82,5.01
187,18,100.202,17.31546077,17.78174274,19.53101104,5.472,.221555,.000158673,1.01,.04578,4.77777777777778,4.5,5.34,5.17,5.255
189,22,100.879,16.44096317,17.15621704,18.89013943,19.337,.280477,.000570752,1.606,.07824,2.77777777777778,3,4.62,4.56,4.59
190,18,93.012,17.50264345,17.07931604,17.77436528,8.092,.229218,.000519134,1.567,.07949,4,3,5.44,5.38,5.41
191,19,120.025,16.83295447,16.88939124,17.86526133,12.174,.234082,.000183179,1.017,.03983,4.33333333333333,3.25,6.01,5.56,5.785
192,18,93.761,17.15501603,17.29182764,18.40150305,5.069,.26794,.000189716,.993,.03856,4.66666666666667,4.75,5.6,5.54,5.57
195,24,97.519,17.9639779,18.31874368,20.30370552,6.737,.183755,.000180498,.826,.04301,4.55555555555556,4,5.41,5.38,5.395
198,20,104.841,15.73613898,15.58143152,15.8665811,9.824,.185457,.000192337,1.019,.03576,2.44444444444444,3.75,5.21,5.28,5.245
