ID,Age,F0,apparent_VTL,F0_SD,Mean_HNR,absolute_jitter,abolute_shimmer,shimmer_apq3,Speakers_Health_Perception_Current_Health_mean,Speakers_Health_Perception_Resistence_mean,Listeners_Mean_Voice_Health_Rating,Listeners_Mean_Disease_Resistance_Rating,Listeners_Overall_Health_Rating
50,22,124.385,16.36719622,11.68,.319427,.000181607,1.484,.05504,3.33333333333333,3.5,6.04,5.35,5.695
53,25,124.231,17.60208238,20.088,.269283,.0001995,.959,.04888,3.77777777777778,4.5,5.45,5.03,5.24
59,18,116.172,17.12779268,12.997,.159443,.000104037,.842,.0334,4.33333333333333,4.75,5.05,4.79,4.92
60,23,116.562,14.44373756,24.052,.260313,.000206188,1.14,.05635, , ,4.86,4.66,4.76
61,20,91.385,15.94145119,11.831,.277138,.000274919,1.181,.05857,2,4.75,5.69,5.69,5.69
63,22,94.397,17.77197179,10.627,.153105,.000171937,.835,.03528,4.44444444444444,3.75,6.06,5.56,5.81
64,18,129.062,16.07740799,11.03,.158151,9.69E-005,.886,.03857,4.33333333333333,3.25,5.03,4.92,4.975
65,24,94.656,17.33946717,6.823,.305868,.000160262,1.236,.05451,3.77777777777778,3.75,4.64,4.76,4.7
66,19,95.558,16.42535643,14.753,.276696,.000183569,1.116,.06287,4.66666666666667,5,5.37,5.24,5.305
67,23,104.843,18.18256822,16.216,.444298,.00028078,1.108,.05963,3.88888888888889,4.5,5.76,5.83,5.795
68,19,121.222,16.72389855,13.658,.203381,.000140758,.952,.03843,4.11111111111111,4.25,5.63,5.43,5.53
69,29,109.245,16.67683766,18.871,.223209,.000168158,1.138,.06664,2.33333333333333,2.5,5.68,5.37,5.525
70,18,118.393,16.9752555,23.609,.33613,.000272142,1.546,.08243,3.44444444444444,3,6.39,5.94,6.165
71,18,110.013,17.396757,34.273,.35878,.000213273,.98,.05057,3.33333333333333,3.25,5.53,5.33,5.43
72,18,134.058,16.86786113,29.246,.310417,.000203201,1.314,.06368,3.77777777777778,4,5.17,4.7,4.935
73,18,91.335,14.72557892,6.285,.518171,.000713551,1.47,.10766, , ,4.71,4.83,4.77
75,21,140.81,17.80681786,12.777,.169386,.000105624,1.018,.04483,4.22222222222222,4,6.15,5.31,5.73
77,20,127.263,16.39861282,24.244,.380635,.000249317,1.524,.08226,3.77777777777778,4,5.89,5.7,5.795
78,19,104.924,16.45338779,16.169,.480335,.000331583,1.614,.08042,3.77777777777778,3.75,5.42,5.27,5.345
79,24,118.583,17.009645,9.137,.259366,.000137994,1.087,.03904, , ,5.8,5.36,5.58
80,21,139.756,17.75998381,10.959,.209106,.000173757,1.117,.05929,2.88888888888889,3,4.88,4.71,4.795
81,20,121.948,16.57069695,14.851,.238552,.000193608,1.043,.03995,2.44444444444444,3.25,6.28,5.46,5.87
82,21,110.006,16.28706641,23.355,.26246,.000273341,1.315,.06528,4.11111111111111,3.75,6.05,5.82,5.935
83,19,106.97,16.51408886,26.252,.381791,.000332582,1.205,.06461,4.77777777777778,5,5.75,5.47,5.61
84,17,112.601,18.06235148,14.473,.174959,.000195893,.942,.03265,4.22222222222222,3.75,6.03,5.71,5.87
85,21,120.412,17.22553594,10.441,.217177,.000203169,1.184,.05063,3.77777777777778,3.75,5.08,5.04,5.06
86,24,92.925,17.86673107,6.505,.275999,.000320887,1.341,.06839,4.11111111111111,3.75,4.52,4.57,4.545
89,22,126.012,14.90239962,13.986,.129987,8.83E-005,.722,.0335,2.77777777777778,2.25,5.68,5.3,5.49
90,19,102.407,15.82528903,43.934,.237915,.000235834,.959,.04359,3.44444444444444,4,5.39,5.29,5.34
91,18,113.507,17.03494785,12.82,.210358,.000179794,1.051,.04971,3.33333333333333,2.5,5.88,5.66,5.77
93,18,110.191,16.21273988,5.671,.116786,.000112212,.676,.02311,4.33333333333333,4.5,5.69,5.71,5.7
98,20,110.311,16.69756752,21.779,.361728,.000169601,1.293,.05369,3.55555555555556,4,5.29,4.83,5.06
100,18,101.224,15.67901217,17.698,.126352,.000146502,1.093,.03503,3.88888888888889,4.25,5.26,5.15,5.205
102,20,99.155,17.46260947,10.012,.196542,.000121677,1.05,.04521,4,4,6.09,5.58,5.835
104,22,130.069,17.07175202,8.117,.086723,6.88E-005,.794,.02076,4.11111111111111,3,5.48,5.08,5.28
105,20,101.032,16.72089935,41.058,.266289,.000203074,1.406,.07545,3,3.5,6.16,5.79,5.975
106,20,125.289,17.40436335,14.27,.304385,.000124802,1.343,.05961,3.55555555555556,4.25,6.17,5.6,5.885
109,20,127.572,16.30875183,40.529,.255166,.000196371,1.116,.04671,2.66666666666667,2.5,5.48,5.21,5.345
112,21,124.395,17.80098877,10.784,.128731,.000100726,.745,.02996,3.33333333333333,3.25,5.29,4.99,5.14
113,19,105.798,18.04548104,43.923,.383526,.000242963,1.372,.06163,4.11111111111111,4.5,5.24,5.35,5.295
115,19,111.497,18.29495432,27.357,.270301,.000229957,1.106,.05506,3.11111111111111,3.5,5.28,4.87,5.075
116,19,108.848,16.59086284,6.767,.175084,.000103349,.738,.02602,2.22222222222222,2.75,5.64,5.3,5.47
117,19,125.234,16.98407828,10.806,.176865,.000125358,1.104,.05566,4,2.75,5.56,5.35,5.455
120,19,113.273,16.8675714,11.312,.156106,.000117115,.821,.03821,3.66666666666667,4,5.33,4.85,5.09
122,18,105.62,17.82746891,13.01,.250117,.000185973,1.233,.06349,3.88888888888889,4,6.16,5.71,5.935
125,21,110.326,16.37436871,10.04,.177964,.000160237,1.101,.05013,3,3.75,5.72,5.34,5.53
128,22,88.733,16.40396577,9.001,.183364,.000165297,.755,.03552, , ,4.2,4.41,4.305
130,18,109.97,18.13652549,7.589,.150289,.000111191,.882,.04535,2.33333333333333,2,5.87,5.25,5.56
133,20,119.3,17.30818709,27.896,.506191,.000511877,1.518,.09214,4.33333333333333,2.25,4.37,4.38,4.375
136,22,111.125,17.2904023,11.062,.195066,.000168942,.995,.04571,3.11111111111111,3,4.97,5.05,5.01
137,21,108.341,17.23232478,17.028,.213987,.000138387,1.047,.03786,3.77777777777778,3,6.08,5.73,5.905
139,19,100.958,17.36207988,10.544,.187913,.000140761,1.074,.05601,3.55555555555556,3.75,5.44,5.32,5.38
142,24,107.887,18.22553926,15.034,.233342,.000231657,.93,.0465,3.77777777777778,4.25,5.58,5.38,5.48
144,21,104.936,17.69867932,14.879,.244188,.000209954,1.21,.06098,3.55555555555556,4,5.97,5.13,5.55
146,20,153.988,14.91129764,18.217,.238551,.000137719,.924,.03227,2.77777777777778,3.5,5.96,5.34,5.65
149,25,107.138,18.56721396,6.903,.210018,.00017286,.794,.04619,3,2.75,5.45,5.65,5.55
150,19,113.268,15.69035772,18.513,.338757,.000300348,1.231,.06455,2.77777777777778,3.25,5.51,5.34,5.425
151,19,128.128,16.09986314,14.508,.209147,.000146807,1.162,.06718,3.55555555555556,3.25,5.52,4.99,5.255
152,21,101.863,16.76822946,10.103,.375249,.000286448,1.46,.07279,3.44444444444444,4.25,5,5.15,5.075
153,25,133.503,16.29419873,8.171,.239575,.000160565,1.087,.03863,4.22222222222222,3,5.26,5.15,5.205
154,19,98.112,16.62051654,5.703,.218001,.000257401,.938,.0365,3,3,5.58,5.49,5.535
155,21,89.604,15.79032657,6.965,.450556,.000566212,1.184,.06913,3.55555555555556,3.75,5.6,5.54,5.57
156,23,98.674,16.92962446,11.495,.14674,.000162285,.875,.04106,4.66666666666667,4,5.34,5.03,5.185
158,18,119.737,15.43501015,22.809,.298312,.000251202,1.209,.07335,3.11111111111111,2,5.77,5.17,5.47
162,20,96.713,17.73272125,12.656,.287126,.000282992,1.324,.04707,4,4.5,5.77,5.65,5.71
171,19,116.159,17.39162803,9.356,.216608,.00033341,1.644,.06746,4.11111111111111,4.75,5.36,5.21,5.285
172,29,106.266,15.96701423,6.957,.208901,.000117685,.752,.0315,3.11111111111111,4,6.29,5.35,5.82
173,19,142.955,17.41703174,14.726,.264089,.00016148,1.094,.05079,3.11111111111111,4.25,4.01,4.08,4.045
174,18,98.648,15.57273115,9.482,.175567,.000150104,1.078,.05085,3.55555555555556,3.5,5.79,5.36,5.575
177,22,100.27,17.59826808,6.539,.241996,.000131572,1.156,.03757,3.77777777777778,4,5.64,5.4,5.52
179,21,96.95,17.04483226,9.457,.335709,.000383359,1.035,.06988,3.77777777777778,4,4.93,4.8,4.865
