ParticipantID,SPEAKER_ID,Manipulation_Type,Physical_Dominance_F0,Physical_Dominance_VTL,Social_Dominance_F0,Social_Dominance_VTL
58,3,0,9,8,8,5
58,4,0,7,6,8,7
58,5,1,5,3,6,2
58,6,1,6,1,7,3
58,7,1,7,5,7,4
58,8,1,5,6,7,3
45,1,0,4,3,4,4
45,2,0,1,2,3,2
45,3,0,6,7,8,7
45,4,0,6,7,7,5
45,5,1,4,3,3,2
45,6,1,1,1,1,1
45,7,1,4,5,6,5
45,8,1,5,4,5,5
27,1,0,8,9,7,6
27,2,0,6,6,8,6
27,3,0,6,8,5,9
27,4,0,7,9,7,9
27,5,1,2,2,3,2
27,6,1,1,1,1,1
27,7,1,7,1,8,2
27,8,1,4,3,7,7
11,1,0,6,8,7,4
11,2,0,4,3,5,3
11,3,0,9,8,7,4
11,4,0,9,7,6,6
11,5,1,5,5,5,5
11,6,1,2,2,1,1
11,7,1,7,3,7,7
11,8,1,6,4,6,3
52,1,0,4,4,5,1
52,2,0,2,2,4,1
52,3,0,8,6,9,5
52,4,0,8,6,7,6
52,5,1,5,1,4,2
52,6,1,3,1,2,2
52,7,1,7,5,8,6
52,8,1,7,1,6,6
24,1,0,8,6,6,8
24,2,0,7,2,7,4
24,3,0,8,7,9,8
24,4,0,8,9,7,7
24,5,1,4,3,3,1
24,6,1,5,7,4,7
24,7,1,6,4,8,3
24,8,1,8,2,4,3
83,1,0,4,3,6,3
83,2,0,5,2,6,6
83,3,0,7,4,5,2
83,4,0,7,5,6,4
83,5,1,5,2,6,3
83,6,1,2,3,5,5
83,7,1,6,4,6,5
83,8,1,6,2,5,4
74,1,0,6,3,6,4
74,2,0,5,3,6,3
74,3,0,5,4,5,6
74,4,0,4,4,6,3
74,5,1,5,3,7,4
74,6,1,5,4,7,4
74,7,1,6,4,5,4
74,8,1,6,3,6,3
1,1,0,8,6,8,4
1,2,0,7,5,7,6
1,3,0,8,7,7,9
1,4,0,8,9,8,9
1,5,1,5,2,4,2
1,6,1,2,1,5,2
1,7,1,4,4,5,1
1,8,1,6,3,5,3
62,1,0,6,4,7,3
62,2,0,5,2,5,2
62,3,0,9,9,9,8
62,4,0,9,6,6,9
62,5,1,4,1,3,1
62,6,1,3,1,4,1
62,7,1,7,1,7,2
62,8,1,3,2,7,3
81,1,0,6,3,5,5
81,2,0,6,4,7,7
81,3,0,5,7,4,6
81,4,0,5,4,6,3
81,5,1,6,7,6,7
81,6,1,6,6,5,5
81,7,1,5,7,6,3
81,8,1,4,5,5,7
6,1,0,6,5,7,3
6,2,0,3,5,5,4
6,3,0,6,6,6,7
6,4,0,7,8,7,7
6,5,1,3,5,4,3
6,6,1,2,3,5,3
6,7,1,4,2,6,3
6,8,1,5,3,6,4
33,1,0,8,6,7,4
33,2,0,6,2,8,3
33,3,0,6,7,8,2
33,4,0,6,5,6,7
33,5,1,6,3,7,2
33,6,1,3,4,5,3
33,7,1,6,3,7,2
33,8,1,7,4,6,3
48,1,0,5,7,3,4
48,2,0,3,4,7,3
48,3,0,7,8,5,5
48,4,0,6,5,6,7
48,5,1,6,3,6,1
48,6,1,3,2,7,5
48,7,1,6,3,3,3
48,8,1,4,2,4,6
70,1,0,6,3,6,6
70,2,0,6,6,6,6
70,3,0,6,7,6,7
70,4,0,6,6,7,7
70,5,1,4,2,3,2
70,6,1,3,3,4,2
70,7,1,3,3,6,1
70,8,1,6,2,6,3
19,1,0,8,3,6,3
19,2,0,4,1,3,2
19,3,0,8,8,9,9
19,4,0,7,8,7,8
